"","codcomp","depto","secc","seg","zona","codloc","nomdepto","nomloc","nombarrioi","ccz","v_tot","v_tot_oc","v_tot_des","v_par","v_par_oc","v_par_des","v_col","v_col_oc","v_col_des","p_tot","p_tot_fem","p_tot_masc","p_part","p_part_fem","p_part_masc","p_col","p_col_fem","p_col_masc"
"13446","1003028008","10","03","028","008","10948","MALDONADO","OCEAN PARK","N/A","N/A",16,2,14,16,2,14,0,0,0,4,2,2,4,2,2,0,0,0
"13447","1202103005","12","02","103","005","12621","RIO NEGRO","NUEVO BERLIN","N/A","N/A",4,4,0,4,4,0,0,0,0,7,2,5,7,2,5,0,0,0
"13448","0122230004","01","22","230","004","01020","MONTEVIDEO","MONTEVIDEO","VILLA ESPAÑOLA","11",65,61,4,65,61,4,0,0,0,166,91,75,150,85,65,0,0,0
"13449","1714001002","17","14","001","002","17900","SORIANO","RURAL","N/A","N/A",34,22,12,33,22,11,1,0,1,52,26,26,52,26,26,0,0,0
"13450","1801527850","18","01","527","850","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",6,5,1,6,5,1,0,0,0,12,6,6,12,6,6,0,0,0
"13451","1503303008","15","03","303","008","15900","SALTO","RURAL","N/A","N/A",4,2,2,4,2,2,0,0,0,5,1,4,5,1,4,0,0,0
"13452","1201323863","12","01","323","863","12930","RIO NEGRO","LOS ARRAYANES","N/A","N/A",2,2,0,2,2,0,0,0,0,8,5,3,8,5,3,0,0,0
"13453","1809104800","18","09","104","800","18521","TACUAREMBO","SAN GREGORIO DE POLANCO","N/A","N/A",21,18,3,21,18,3,0,0,0,38,20,18,37,19,18,0,0,0
"13454","0304048604","03","04","048","604","03421","CANELONES","PROGRESO","N/A","N/A",57,46,11,57,46,11,0,0,0,101,58,43,101,58,43,0,0,0
"13455","0122230006","01","22","230","006","01020","MONTEVIDEO","MONTEVIDEO","VILLA ESPAÑOLA","11",61,54,7,61,54,7,0,0,0,169,89,80,152,81,71,0,0,0
"13456","0121048010","01","21","048","010","01020","MONTEVIDEO","MONTEVIDEO","PEÑAROL, LAVALLEJA","13",40,33,7,40,33,7,0,0,0,92,54,38,76,44,32,0,0,0
"13457","0122024006","01","22","024","006","01020","MONTEVIDEO","MONTEVIDEO","CASTRO, P. CASTELLANOS","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13458","1809101008","18","09","101","008","18521","TACUAREMBO","SAN GREGORIO DE POLANCO","N/A","N/A",17,9,8,17,9,8,0,0,0,17,8,9,17,8,9,0,0,0
